#{"t_start": 1702587931.5882936, "env_id": "None"}
r,l,t
-7.0,1,643.342293
-7.0,1,643.344298
-7.0,4,643.350291
-7.0,3,643.353295
-7.0,2,643.356295
-7.0,2,643.358293
-7.0,1,643.362298
-7.0,1,643.3643
-7.0,4,643.367291
-7.0,4,643.373305
-7.0,4,643.378677
-7.0,3,643.381672
-7.0,1,643.382668
-7.0,1,643.385174
-7.0,3,643.388182
-7.0,4,643.391182
-7.0,4,643.396182
-7.0,1,643.398184
-7.0,5,643.405184
-7.0,2,643.407182
-7.0,1,643.409186
-7.0,1,643.411184
-7.0,4,643.420185
-7.0,1,643.424183
-7.0,1,643.426184
-7.0,1,643.431183
-7.0,1,643.436183
-7.0,3,643.440181
-7.0,1,643.443184
-7.0,4,643.449183
-7.0,1,643.455185
-7.0,1,643.457184
10.0,4,643.464182
-7.0,3,643.469187
-7.0,4,643.474195
-7.0,3,643.480201
-7.0,1,643.483196
-7.0,3,643.487708
-7.0,4,643.492707
-7.0,1,643.49671
-7.0,2,643.498706
-7.0,2,643.501707
-7.0,1,643.505707
-7.0,1,643.507712
-7.0,1,643.50971
-7.0,1,643.512717
-7.0,4,643.518707
-7.0,1,643.520708
-7.0,2,643.522708
-7.0,1,643.524712
-7.0,1,643.529707
-7.0,1,643.531706
-7.0,4,643.534705
-7.0,2,643.537711
-7.0,4,643.542706
-7.0,4,643.548709
-7.0,3,643.551706
-7.0,4,643.554705
-7.0,2,643.558707
-7.0,1,643.559709
-7.0,1,643.562707
-7.0,4,643.566706
-7.0,1,643.570719
-7.0,1,643.572718
-7.0,3,643.575719
-7.0,4,643.581727
-7.0,1,643.583719
-7.0,1,643.586232
10.0,3,643.589233
-7.0,1,643.591234
-7.0,4,643.596232
-7.0,2,643.599238
-7.0,5,643.602232
-7.0,1,643.604232
-7.0,4,643.609077
-7.0,1,643.612092
-7.0,1,643.614083
-7.0,3,643.617081
-7.0,4,643.622078
-7.0,1,643.62408
-7.0,3,643.626079
-7.0,1,643.629081
-7.0,1,643.632079
-7.0,1,643.63508
-7.0,1,643.636081
-7.0,1,643.638083
-7.0,1,643.641081
-7.0,1,643.643083
-7.0,3,643.648086
-7.0,1,643.650087
10.0,3,643.655086
-7.0,2,643.657084
-7.0,1,643.660081
-10.0,4,643.66608
-7.0,1,643.670082
-7.0,1,643.672092
-7.0,2,643.674088
-7.0,1,643.676088
-7.0,4,643.684089
-7.0,3,643.688612
-7.0,4,643.696609
-7.0,1,643.698611
-7.0,1,643.703611
-7.0,3,643.707609
-7.0,4,643.71461
-7.0,3,643.718611
-7.0,4,643.725611
-7.0,3,643.73061
-7.0,1,643.732612
-7.0,1,643.734615
-7.0,4,643.741609
-7.0,3,643.748612
-7.0,1,643.757611
-7.0,3,643.774625
-7.0,3,643.782621
-7.0,5,643.787136
-7.0,4,643.790133
-7.0,2,643.793133
-7.0,2,643.798137
-7.0,1,643.801138
-7.0,2,643.804137
-7.0,4,643.808135
-7.0,4,643.816137
-7.0,3,643.819136
0.0,5,643.826136
-7.0,3,643.832134
-7.0,5,643.840135
0.0,5,643.846136
-7.0,1,643.84714
-7.0,3,643.850133
-7.0,1,643.854134
-7.0,3,643.856136
-7.0,1,643.857134
-7.0,5,643.863136
-7.0,4,643.867135
-7.0,2,643.869135
-7.0,1,643.871145
-7.0,1,643.872145
-7.0,3,643.876139
-7.0,5,643.882141
-7.0,1,643.883143
-7.0,1,643.885143
-7.0,3,643.896261
-7.0,1,643.899259
-7.0,2,643.902258
-7.0,3,643.904258
-7.0,1,643.908262
-7.0,1,643.91026
-7.0,1,643.91327
-7.0,1,643.915259
-7.0,1,643.918263
-7.0,5,643.923259
-7.0,1,643.925259
-7.0,3,643.929257
-7.0,1,643.933261
-7.0,3,643.935259
-7.0,3,643.938257
-7.0,4,643.942257
-7.0,3,643.948273
-10.0,3,643.951259
-7.0,1,643.952258
-7.0,2,643.954262
-7.0,1,643.958259
-7.0,1,643.959259
-7.0,1,643.962268
-7.0,4,643.96626
-7.0,5,643.972275
-7.0,1,643.973275
-7.0,1,643.975271
-7.0,1,643.977271
-7.0,4,643.983274
-7.0,1,643.985274
10.0,3,643.987484
-7.0,4,643.990484
-10.0,4,643.997486
-7.0,1,643.998485
-7.0,3,644.001485
0.0,5,644.004485
-7.0,1,644.00928
0.0,5,644.014282
-7.0,1,644.016283
-7.0,1,644.017283
-7.0,3,644.025278
-7.0,1,644.029292
-10.0,3,644.034279
-7.0,1,644.036279
-7.0,1,644.041279
-7.0,1,644.045281
-7.0,1,644.048279
-7.0,1,644.05128
-7.0,2,644.056278
-7.0,3,644.060278
-7.0,1,644.06328
-7.0,5,644.070282
-7.0,2,644.074294
-7.0,3,644.077292
-7.0,1,644.079298
-7.0,1,644.081298
-7.0,3,644.08781
-7.0,4,644.093811
-7.0,1,644.09581
-7.0,1,644.097813
-7.0,3,644.102813
-7.0,1,644.105809
-7.0,1,644.106813
-7.0,3,644.108808
-7.0,1,644.11281
-7.0,1,644.115808
-7.0,3,644.11781
-7.0,1,644.119811
-7.0,3,644.123806
-7.0,3,644.125811
-7.0,3,644.13081
-7.0,4,644.133815
-7.0,1,644.136813
-7.0,1,644.138818
-7.0,4,644.14181
-7.0,1,644.144825
-7.0,5,644.150807
-7.0,3,644.153809
-7.0,1,644.154808
-7.0,3,644.157809
-7.0,1,644.160991
-7.0,1,644.163993
-7.0,3,644.165991
-7.0,3,644.168992
-7.0,1,644.172885
-7.0,1,644.173883
-7.0,2,644.17589
-10.0,3,644.180884
-7.0,4,644.18621
-7.0,4,644.189212
-7.0,1,644.191213
-7.0,1,644.192212
-7.0,1,644.197212
-7.0,2,644.198212
-7.0,3,644.202212
-7.0,3,644.205212
-7.0,4,644.212222
-7.0,3,644.215213
-7.0,1,644.217212
-7.0,1,644.219211
-7.0,1,644.223211
-7.0,1,644.226216
-7.0,4,644.232213
-7.0,4,644.235212
-7.0,1,644.240211
-7.0,1,644.241213
-7.0,1,644.242212
-7.0,1,644.245213
-7.0,1,644.250211
-7.0,1,644.251212
-7.0,3,644.256214
-7.0,2,644.258212
-7.0,5,644.264165
-7.0,2,644.266164
-7.0,2,644.269163
-7.0,3,644.272173
-7.0,2,644.275174
-7.0,2,644.278186
-7.0,1,644.281176
-7.0,2,644.282173
-7.0,2,644.292704
-7.0,4,644.301702
-7.0,1,644.303704
-7.0,2,644.306703
-7.0,1,644.312703
-10.0,4,644.318704
-7.0,4,644.324706
-7.0,1,644.326704
-7.0,1,644.332702
-7.0,2,644.333704
-7.0,1,644.335704
-7.0,3,644.337702
-7.0,3,644.342704
-7.0,1,644.346704
-7.0,2,644.349707
-7.0,2,644.353703
-7.0,1,644.358704
-7.0,3,644.364706
-7.0,1,644.366704
-7.0,2,644.369704
-10.0,3,644.374711
-7.0,3,644.378717
-7.0,1,644.380714
-7.0,1,644.382713
-7.0,1,644.387151
-7.0,1,644.388163
-7.0,5,644.392154
-7.0,1,644.394151
-7.0,1,644.399151
-7.0,2,644.401155
-7.0,1,644.403157
-7.0,3,644.406152
-7.0,3,644.410684
-7.0,1,644.413688
-7.0,4,644.416685
-7.0,3,644.418685
-7.0,2,644.423683
-7.0,1,644.424686
-7.0,3,644.427693
-7.0,1,644.430688
-7.0,4,644.435685
10.0,3,644.437687
-7.0,3,644.440684
-7.0,3,644.442686
-7.0,4,644.448684
-7.0,1,644.449686
-7.0,4,644.452686
-7.0,4,644.455683
-7.0,5,644.463689
-7.0,3,644.465687
-7.0,1,644.467685
-7.0,1,644.469685
-7.0,1,644.472694
-7.0,1,644.474691
-7.0,4,644.479692
-7.0,3,644.481692
-7.0,1,644.485199
-7.0,1,644.487207
-7.0,4,644.490208
-7.0,1,644.492206
-7.0,2,644.497205
-7.0,2,644.499209
-7.0,1,644.500208
-7.0,3,644.503207
-7.0,1,644.506208
-7.0,5,644.510206
-7.0,4,644.51621
-7.0,1,644.51721
-7.0,1,644.521388
-7.0,1,644.522389
-7.0,1,644.524392
-7.0,1,644.526389
-7.0,3,644.531397
-7.0,1,644.53239
-7.0,2,644.534389
-7.0,2,644.536392
